id,kind,tender_type,category,title,source_url,source_note,anonymization,updated_at
sc-price,score_category,法规通则,价格,投标报价,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第五十五条,statute,2026-09-10
sc-tech-level,score_category,法规通则,技术,技术或者服务水平,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第五十五条,statute,2026-09-10
sc-performance,score_category,法规通则,商务,履约能力,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第五十五条,statute,2026-09-10
sc-aftersale,score_category,法规通则,服务,售后服务,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第五十五条,statute,2026-09-10
sc-no-qualification,score_category,法规通则,其他,资格条件不得作为评审因素,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第五十五条,statute,2026-09-10
sc-four-blocks,score_category,法规通则,其他,报价分 / 技术分 / 商务分 / 政策分,https://www.ccgp.gov.cn/llsw/202603/t20260324_26305325.htm,中国政府采购网理论实务，2026-03-24,public-notice,2026-09-10
sc-design,score_category,货物,技术,方案设计,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-process,score_category,货物,技术,工艺配置,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-function,score_category,货物,技术,功能要求,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-spec,score_category,货物,技术,性能指标,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-pm,score_category,货物,技术,项目管理,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-capability,score_category,货物,技术,专业能力,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-plan,score_category,货物,技术,项目实施计划,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-qa,score_category,货物,技术,质量保证体系,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-delivery,score_category,货物,技术,交货、安装、调试和验收,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-leadtime,score_category,货物,商务,交货期,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-payment,score_category,货物,商务,付款条件及方式,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-warranty,score_category,货物,商务,质保期,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-service-flow,score_category,服务,服务,服务流程与制度,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-repair,score_category,服务,服务,故障维修与零配件,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-support,score_category,服务,服务,技术支持与人员配备,https://www.ccgp.gov.cn/llsw/202009/t20200915_15070380.htm,中国政府采购网理论实务，2020-09-15,public-notice,2026-09-10
sc-quantized,score_category,法规通则,其他,评分项须对应量化指标等次,https://www.ccgp.gov.cn/llsw/202201/t20220118_17531138.htm,中国政府采购网转述《政府采购需求管理办法》第二十一条,public-notice,2026-09-10
rr-gpl-36-1,rejection_rule,法规通则,符合性,废标：实质响应供应商不足三家,https://www.ccgp.gov.cn/zcfg/gjfg/201310/t20131029_3587339.htm,政府采购法第三十六条,statute,2026-09-10
rr-gpl-36-2,rejection_rule,法规通则,符合性,废标：影响采购公正的违法违规,https://www.ccgp.gov.cn/zcfg/gjfg/201310/t20131029_3587339.htm,政府采购法第三十六条,statute,2026-09-10
rr-gpl-36-3,rejection_rule,法规通则,价格,废标：报价均超预算且采购人不能支付,https://www.ccgp.gov.cn/zcfg/gjfg/201310/t20131029_3587339.htm,政府采购法第三十六条,statute,2026-09-10
rr-gpl-36-4,rejection_rule,法规通则,其他,废标：重大变故取消采购任务,https://www.ccgp.gov.cn/zcfg/gjfg/201310/t20131029_3587339.htm,政府采购法第三十六条,statute,2026-09-10
rr-87-63-1,rejection_rule,法规通则,符合性,投标无效：未提交投标保证金,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第六十三条,statute,2026-09-10
rr-87-63-2,rejection_rule,法规通则,符合性,投标无效：未按要求签署盖章,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第六十三条,statute,2026-09-10
rr-87-63-3,rejection_rule,法规通则,资格,投标无效：不具备规定的资格要求,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第六十三条,statute,2026-09-10
rr-87-63-4,rejection_rule,法规通则,价格,投标无效：报价超过预算或最高限价,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第六十三条,statute,2026-09-10
rr-87-63-5,rejection_rule,法规通则,符合性,投标无效：附加采购人不能接受的条件,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第六十三条,statute,2026-09-10
rr-87-37,rejection_rule,法规通则,符合性,视为串通投标，投标无效,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第三十七条,statute,2026-09-10
rr-bidlaw-42,rejection_rule,工程,符合性,否决所有投标后应重新招标,http://npc.people.com.cn/n1/2018/0105/c14576-29747940.html,招标投标法第四十二条,statute,2026-09-10
rr-ordinance-51,rejection_rule,工程,符合性,评标委员会应当否决其投标的七类情形,https://www.gov.cn/zhengce/2011-12/29/content_2602597.htm,招标投标法实施条例第五十一条,statute,2026-09-10
rr-no-hidden-standard,rejection_rule,法规通则,其他,招标文件未规定的评标标准不得作为依据,https://www.ccgp.gov.cn/zcfg/mof/201502/t20150227_5029424.shtml,政府采购法实施条例第三十四条,statute,2026-09-10
dp-invite,doc_part,法规通则,其他,投标邀请,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-instruction,doc_part,法规通则,其他,投标人须知（密封、签署、盖章）,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
dp-qualification,doc_part,法规通则,其他,资格、资信证明文件,https://www.ccgp.gov.cn/zcfg/mofgz/201707/t20170718_8541199.shtml,财政部令第87号第二十条,statute,2026-09-10
